layer	latent	clinical_exp	model
12	1679	"""The verb \""appear\"" or its variants (\""appears\"", \""appearing\"", \""appeared\"") when used to indicate a medical impression or interpretation."""	2B
12	168	"""Empty tokens between delimiters are highly activated, suggesting that the model is responding to the presence of the delimiters themselves, rather than the content within them."""	2B
12	1680	"""The model is activated by tokens that are part of a medical or clinical context, particularly when describing a patient's condition, symptoms, or medical history."""	2B
12	1681	"""The model is activated by tokens that are part of medical instructions, warnings, or specific medical terms, often in the context of medication, patient monitoring, or medical history."""	2B
12	1682	"""Medication-related terms or phrases, including names of medications, instructions for taking medications, and substances that may interact with medications."""	2B
12	1683	"""Medical abbreviations or terms, particularly those related to cardiovascular or pulmonary conditions, or diagnostic tests and procedures."""	2B
12	1684	"""Current or past substance use by the patient."""	2B
12	1685	"""Physical activity or exercise, including specific types and intensity levels."""	2B
12	1686	"""Medical examination or assessment, including the process, components, or results of the examination."""	2B
12	1688	"""The token \""End\"" is consistently activated across various snippets, often in the context of medical terminology, suggesting that the model is recognizing the token \""End\"" as a prefix or part of a medical term, rather than its literal meaning."""	2B
12	1689	"""Numerical values, particularly those related to medication dosages, concentrations, or quantities."""	2B
12	169	"""Medical terms or phrases, particularly those related to patient status, medical conditions, or test results."""	2B
12	1690	"""The preposition \""by\"" and its surrounding context, often indicating agency or action performed on behalf of someone or something else."""	2B
12	1692	"""Physical examination findings or medical conditions characterized by visual patterns or abnormalities, often related to skin or tissue appearance."""	2B
12	1693	"""The presence of the word \""security\"" or \""secure\"" in a context related to safety, protection, or restraint."""	2B
12	1694	"""The symbol \""w\"" is consistently activated when it appears to be an abbreviation for \""with\"", often used in medical contexts to indicate a condition or medication being taken, while other symbols like \""b\"" and \""n\"" have lower activation levels and do not appear to follow a consistent pattern."""	2B
12	1695	"""The presence of a non-alphanumeric character or a specific medical term immediately following it."""	2B
12	1696	"""HTML tags and punctuation marks, particularly those used in formatting medical records and reports."""	2B
12	1697	"""The token \""proved\"" or its variants, indicating the outcome or result of a medical treatment or procedure."""	2B
12	1698	"""Time-related expressions, particularly those indicating recent or current events."""	2B
12	17	"""Percentile rankings, particularly the \""th\"" token and the surrounding numbers and word \""percentile\""."""	2B
12	170	"""The word \""certain\"" is consistently activated, suggesting it is a key term in the pattern, often used to introduce specific or notable information, such as medications, precautions, or conditions."""	2B
12	1700	"""Forward slashes (/) are used to separate items in a list or to indicate a range, often in medical notation or abbreviations."""	2B
12	1701	"""Empty or numeric values within delimiters, often indicating a placeholder or a specific value in a medical context."""	2B
12	1702	"""Medication instructions and dosages, particularly those involving quantities, units, and administration frequencies."""	2B
12	1704	"""Numerical values, particularly those related to medical test results or measurements, often including the decimal point."""	2B
12	1706	"""Preoperative events, preparations, or assessments."""	2B
12	1707	"""Possessive forms or punctuation marks indicating possession or separation, often used to denote relationships between entities or items."""	2B
12	1708	"""First-person pronoun \""I\"" indicating the speaker is likely a medical professional, often a doctor, describing their actions or interactions with patients."""	2B
12	1709	"""The model is activated by tokens that are part of a medical history or patient information section, particularly when the word \""HISTORY\"" is present, and also by certain keywords that indicate a comparison or a change in a patient's condition."""	2B
12	171	"""Electrocardiogram-related information, including the term itself and its components or associated findings."""	2B
12	1710	"""Punctuation marks that denote the end of a sentence or a section, particularly those that follow a colon or a period, or are part of the word \""diagnosis\""."""	2B
12	1712	"""The word \""throughout\"" and phrases indicating a duration or extent, often including \""the\"", \""rest\"", \""of\"", and possessive pronouns, tend to have higher activation levels when describing a period or scope within a hospitalization."""	2B
12	1713	"""Numerical values or quantities, often in the context of medical prescriptions, times, or measurements."""	2B
12	1714	"""Medical procedures, diagnoses, or interventions, often involving vascular or neurological conditions, as well as specific medical settings or actions."""	2B
12	1715	"""Actions or procedures involving the insertion or manipulation of medical devices, particularly catheters."""	2B
12	1716	"""Numerical values or quantities, often in the context of medication dosages or physical limitations."""	2B
12	1717	"""The phrase \""at the end of\"" is a common pattern, often indicating a time frame or a period of treatment, with the word \""end\"" and \""of\"" consistently having high activation levels."""	2B
12	1718	"""The token \""raz\"" is consistently activated when it appears as part of the medication name \""Pantoprazole\""."""	2B
12	1719	"""Footwear or lower extremity anatomy."""	2B
12	172	"""Time stamps."""	2B
12	1720	"""Numerical values, particularly those related to medication dosages or medical measurements."""	2B
12	1721	"""Indication of a singular or standalone condition, treatment, or action."""	2B
12	1722	"""The token \""located\"" is consistently activated across various medical contexts, suggesting that the model is recognizing the importance of spatial information or descriptions of anatomical locations in medical texts."""	2B
12	1724	"""The activation patterns are associated with the verb \""describe\"" or its variants, indicating that the model is capturing instances where a patient's symptoms, conditions, or medical history are being described or characterized."""	2B
12	1725	"""Punctuation marks, particularly those that end sentences or clauses, and sometimes the words immediately preceding or following them."""	2B
12	1726	"""Information obtained from or involvement of family members or caregivers, particularly in the context of patient care and medical history."""	2B
12	1727	"""Medication dosages and instructions, particularly those involving numerical values or specific administration schedules."""	2B
12	1728	"""The digit \""1\"" is consistently activated when it appears as part of a medical dosage or quantity, often in the format \""1 Tablet\"" or \""1 Lozenge\"", indicating a specific amount of medication."""	2B
12	1729	"""Medical imaging findings and procedures, particularly those involving radiological images and their descriptions."""	2B
12	173	"""References to additional information or further explanation, typically indicated by phrases such as \""see below\"" or \""described below\""."""	2B
12	1730	"""The model is activated by phrases indicating time frames or sequences of events, and by the term \""physical examination\"" or its variants, often in the context of a medical history or assessment."""	2B
12	1731	"""The presence of negation or absence, often indicated by words like \""lack\"", \""not\"", or phrases that convey inability or insufficiency."""	2B
12	1732	"""The term \""day\"" or its variants, often used to specify the frequency of medication administration."""	2B
12	1733	"""The token \""This\"" is consistently activated when it refers to a specific medical condition, treatment, or test result that is being described or explained in the surrounding context."""	2B
12	1734	"""The presence of \""hemi\"" is a strong indicator of the pattern, often associated with medical conditions or procedures, particularly those related to hemiparesis or hemicolectomy, while other tokens may be activated due to their proximity or relevance to medical procedures or conditions."""	2B
12	1735	"""Medical instructions, medication names, dosages, and medical abbreviations."""	2B
12	1736	"""The phrase \""prior to\"" or its variants, indicating a time frame or condition preceding an event or action, often related to medical treatment or hospitalization."""	2B
12	1737	"""Medical abbreviations or terms, often related to medical specialties, procedures, or test results."""	2B
12	1738	"""Numerical values, particularly those related to medication dosages or frequencies."""	2B
12	1739	"""Symptoms or complaints that are concerning, alarming, or acute, often prompting a need for medical attention."""	2B
12	1740	"""Contractions of negation, specifically those involving \""not\"" (wasn't, couldn't, didn't, isn't, hadn't)."""	2B
12	1741	"""Units of measurement, particularly those related to medical dosages or laboratory values."""	2B
12	1742	"""Abbreviations or partial words within medical terminology or formatting."""	2B
12	1743	"""Specific medical findings or diagnostic results, often including anatomical locations or test results."""	2B
12	1744	"""Anticoagulation or tapering of medication."""	2B
12	1745	"""Colon-prefixed dosing instructions or medication labels."""	2B
12	1746	"""Medication dosages, typically including numerical values and units of measurement."""	2B
12	1747	"""Medical abbreviations, units of measurement, or specific medical terms, particularly those that are not part of common language usage."""	2B
12	1748	"""Tokens that are part of a procedure or instruction sequence, often denoted by a colon, numbering, or a specific formatting style."""	2B
12	175	"""The presence of the string \""Rob\"" in a medical context, often related to robotic-assisted surgeries or medications with \""Rob\"" in their names."""	2B
12	1750	"""The digit \""1\"" when part of a numerical value, especially in the context of medication dosages or quantities."""	2B
12	1751	"""Abbreviations or symbols used in medical notation or formatting."""	2B
12	1752	"""Medical device or procedure involving a \""pigtail\"" catheter."""	2B
12	1753	"""Punctuation marks, particularly periods, and certain digits or numbers, especially those that appear to be part of a list or a medical dosage, are highly activated."""	2B
12	1754	"""The phrase \""compliance with\"" is consistently activated, particularly when referring to adherence to HCFA regulations, indicating that the model is recognizing a pattern related to regulatory compliance."""	2B
12	1755	"""Medications or medical treatments, including specific drugs, procedures, and diagnostic tests."""	2B
12	1756	"""The activation pattern is associated with the presence of a hyphen (-) within the delimiters, which often indicates a causal relationship or an association between two medical conditions or a condition and a treatment, typically in the context of a specific medical diagnosis or a drug-induced condition."""	2B
12	1757	"""Terms related to medical conditions or procedures, particularly those involving the kidneys or urinary system."""	2B
12	1758	"""A blank token between \""<<\"" and \"">>\"" delimiters is highly activated when it separates a number from a medication name or a medical instruction, indicating a pattern of medication prescriptions or medical orders."""	2B
12	1759	"""Punctuation marks and conjunctions that indicate a contrast or continuation in a sentence."""	2B
12	1761	"""Medical settings, treatments, or medications."""	2B
12	1762	"""Prescription medication instructions, particularly dosage and dispensing information."""	2B
12	1763	"""Units of measurement, medical abbreviations, or specific medical terms, particularly those related to laboratory results or medical procedures."""	2B
12	1764	"""Medical terms or abbreviations, particularly those related to diagnoses, treatments, or medical concepts."""	2B
12	1765	"""Laboratory values, particularly those related to blood tests, and family relationships."""	2B
12	1766	"""Decision-making process, especially phrases containing \""made\""."""	2B
12	1767	"""Military service or war-related experiences."""	2B
12	1768	"""The model is activated by tokens that indicate a shift or transition in the narrative, often marked by temporal or causal relationships, or by tokens that are part of a phrase or sentence that is being emphasized or highlighted."""	2B
12	1769	"""The word \""too\"" is consistently activated when it is used to indicate a limitation or an insufficiency in a medical context, often in relation to the size or severity of a condition."""	2B
12	177	"""The token \""Ref\"" is consistently activated across various snippets, often in the context of medication prescriptions or dispensing information, suggesting that the model is recognizing a pattern related to references or prescriptions."""	2B
12	1770	"""Maintaining or keeping a physiological parameter or health status stable, often in the context of medical treatment or intervention."""	2B
12	1771	"""Family or caregiver relationships, or specific individuals involved in the patient's care or life."""	2B
12	1772	"""Terms related to neonatal care, particularly those referencing the Neonatal Intensive Care Unit (NICU) or describing infant characteristics and conditions."""	2B
12	1773	"""The activation patterns are associated with medical abbreviations, dosing instructions, or medical terminology, particularly those related to medication administration or medical procedures."""	2B
12	1774	"""Blood-related conditions or medical terms, particularly those involving clotting, bleeding, or blood composition."""	2B
12	1775	"""Quantitative values or measurements, often in the context of medical test results, medication dosages, or physical limitations."""	2B
12	1776	"""The presence of the medication valproate or valproic acid."""	2B
12	1777	"""The pronoun \""he\"" or \""she\"" is activated when referring to the patient, often in the context of their medical treatment or condition."""	2B
12	1778	"""Indication of separation, whether physical, marital, or medical."""	2B
12	1779	"""The term \""selected\"" is consistently activated when it refers to a specific choice or option, often in the context of medical tests, results, or treatments."""	2B
12	178	"""The term \""grid\"" in the context of intracranial placement, medical procedures, or devices."""	2B
12	1780	"""The verb \""to be\"" in various forms, often used in passive voice or linking verb constructions, tends to have high activation levels."""	2B
12	1781	"""Tokens related to medical records, patient information, and hospital procedures, particularly those indicating transitions, locations, or time stamps."""	2B
12	1782	"""Healthcare decision-making authority, including proxies, guardians, and family members."""	2B
12	1783	"""Medical terminology, particularly medication names, dosages, and medical abbreviations."""	2B
12	1784	"""The American Academy of Pediatrics and its recommendations."""	2B
12	1785	"""Terms related to lymph nodes or lymphadenopathy."""	2B
12	1786	"""The model is activated by phrases that describe a causal relationship or association between two concepts, often in the context of health or medical conditions."""	2B
12	1787	"""The digit \""5\"" is activated when it appears in the context of a left ventricular ejection fraction (LVEF) value, indicating normal left ventricular systolic function."""	2B
12	1788	"""Periods that end sentences, especially those that follow specific medical instructions or numerical values."""	2B
12	1789	"""Medical terms or phrases, particularly those related to anatomy, diagnoses, or medical procedures."""	2B
12	179	"""Units of measurement, particularly those related to medication dosages and administration."""	2B
12	1790	"""The digit \""1\"" is consistently activated when it appears as part of a medication dosage or quantity, often in the format \""One (1)\"" or as a standalone digit \""1\"" preceding a medication name or instruction."""	2B
12	1791	"""The presence of indefinite articles (\""una\"", \""un\"", \""une\"", \""1\"") in medical contexts, particularly when referring to a single instance of a medical procedure, medication, or condition."""	2B
12	1792	"""The term \""interface\"" in a medical context, often referring to the boundary or interaction between two distinct biological or artificial components."""	2B
12	1793	"""Dose or quantity information in medication instructions."""	2B
12	1795	"""Time-related numerical values, particularly those involving the number 3 in the context of time, often in the format of 12:3X."""	2B
12	1796	"""The presence of \""Group B\"" in the context of medical information, particularly related to Streptococcus status or infection."""	2B
12	1797	"""The model is activated by phrases related to the affordability or duration of medical treatment, particularly when patients are unable to afford their medications."""	2B
12	1798	"""Medical lab values, family relationships, and physical attributes."""	2B
12	1799	"""The presence of a number or a blank space within the delimiters indicates a high activation level, suggesting that the model is recognizing and emphasizing medication or treatment instructions, including dosages and frequencies."""	2B
12	18	"""The model is activated by mentions of \""electrolytes\"" and \""nutrition\"", often in the context of a patient's fluid status or feeding regimen."""	2B
12	180	"""The model is activated by mentions of medications, particularly those related to blood thinning or anticoagulation, such as warfarin and coumadin, as well as their administration and monitoring."""	2B
12	1800	"""Phrases expressing clinician's thought process or opinions."""	2B
12	1801	"""Medical assessment and evaluation terms, particularly those indicating a patient's status or condition."""	2B
12	1802	"""The term \""body\"" is activated when it refers to the physical body as a whole, particularly in the context of fluid balance, medication, or overall health."""	2B
12	1803	"""Financial or medical treatment-related concepts, particularly those involving cost, affordability, or medical procedures."""	2B
12	1804	"""Negative actions or conditions, often in the context of medical instructions or follow-up actions."""	2B
12	1805	"""The model is activated by phrases indicating goals, intentions, or purposes, often introduced by words like \""to\"", \""aim\"", or \""goal\"", and typically describing a desired outcome or target."""	2B
12	1806	"""Conditional or hypothetical situations, often expressed through the use of the auxiliary verb \""would\""."""	2B
12	1807	"""Medical examination findings, diagnoses, procedures, or treatments, often related to specific body parts or systems."""	2B
12	1808	"""The model is activated by tokens related to logging, tracking, or recording information, particularly in a medical context, as well as certain medication names."""	2B
12	1809	"""Numerical values or quantities, often in the context of medication dosages or medical measurements."""	2B
12	181	"""Periods (.) at the end of sentences or instructions, often indicating the end of a directive or a medical order."""	2B
12	1810	"""The model is activated by tokens that are part of a medical or clinical context, particularly when they are part of a phrase or word that describes a patient's condition, treatment, or test result, but also by tokens that are part of a phrase describing a patient's demographic information or hospital stay."""	2B
12	1811	"""Tokens within delimiters <<>>, particularly those representing medical concepts, diagnoses, causes, or explanations of conditions, as well as medication names and dosages."""	2B
12	1812	"""Medical instructions, actions, or findings, often involving specific procedures, medications, or test results."""	2B
12	1813	"""The pattern of activation is associated with the phrase \""CONDITION ON DISCHARGE\"", indicating that the model is recognizing a specific medical context related to a patient's condition at the time of discharge."""	2B
12	1814	"""Laboratory values or medical measurements, often including units or numerical values."""	2B
12	1815	"""Urine output or fluid drainage."""	2B
12	1816	"""Surgical repair procedures."""	2B
12	1817	"""The model is activated by mentions of antibiotics, particularly vancomycin."""	2B
12	1818	"""Words or phrases that provide additional context or specification, often indicating a particular condition, timing, or relationship."""	2B
12	182	"""The model is activated by words related to people, social interactions, or understanding others, as well as words that are part of a phrase indicating a person or group is nearby or involved, often in a context of providing assistance or being affected by an event."""	2B
12	1820	"""The model is activated by phrases that convey a sense of caution or warning, particularly in the context of medication and potential side effects."""	2B
12	1821	"""Medical procedures or interventions that were performed or considered."""	2B
12	1822	"""The model is activated by tokens that are part of phrases indicating medical conditions, procedures, or significant events, often in the context of patient history or current health status."""	2B
12	1823	"""The activation patterns are associated with phrases that indicate a range or transition, often using the word \""from\"" to signify a starting point, and sometimes including a specific value or endpoint."""	2B
12	1824	"""Punctuation marks, particularly periods, and words immediately preceding or following them, often indicating the end of a sentence or a clause, tend to have high activation levels."""	2B
12	1825	"""Units of measurement or dosage instructions."""	2B
12	1826	"""Immediate family members, particularly parents."""	2B
12	1827	"""Adjectives or adverbs describing the degree or extent of a condition, treatment, or event."""	2B
12	1828	"""Date, time, or numerical value separators."""	2B
12	1829	"""Medical actions, assessments, or observations, often involving monitoring or checking of patient's condition or treatment."""	2B
12	183	"""Commas separating numerical values, particularly in medical data and laboratory results."""	2B
12	1830	"""The subject of the sentence, typically a patient, often referred to by a pronoun such as \""He\"" or \""She\""."""	2B
12	1831	"""Time-related information, specifically times of day or numerical values that appear to be times."""	2B
12	1832	"""Time-related information or numerical values."""	2B
12	1833	"""Numbers associated with medical imaging or anatomical references."""	2B
12	1834	"""The term \""release\"" in the context of being discharged or freed from a physical or medical constraint."""	2B
12	1835	"""The model is activated by tokens that are part of a definition or a clarifying phrase, often indicating a specific medical term or concept being explained or identified."""	2B
12	1836	"""The model is activated by tokens that are part of medical terminology, particularly those related to medical conditions, treatments, or procedures, as well as certain abbreviations or symbols used in medical contexts."""	2B
12	1837	"""Medical abbreviations, dosages, or units of measurement."""	2B
12	1838	"""Percentile rankings, particularly those involving the words \""percentile\"", \""th\"", and numerical values."""	2B
12	1839	"""The phrase \""Treated\"" and sometimes the accompanying preposition \""with\"" are activated when describing a medical intervention or therapy administered to a patient."""	2B
12	184	"""Medication prescriptions or dispensing information, often denoted by the token \""Disp\"", and sometimes accompanied by dosage or quantity details."""	2B
12	1840	"""Numerical values, particularly those indicating quantities, measurements, or time intervals, often in the context of medical instructions or appointments."""	2B
12	1841	"""The token \""emerged\"" in the context of infant delivery."""	2B
12	1842	"""The model is activated by mentions of specific birds, including \""birds\"", \""chicken\"", and \""swan\""."""	2B
12	1843	"""Empty or blank tokens within delimiters, often indicating missing or redacted information."""	2B
12	1844	"""Instructions or actions to be taken by the patient, often related to monitoring or checking their health status."""	2B
12	1845	"""Medication names and dosages."""	2B
12	1846	"""The token \""on\"" is activated when it indicates a temporal or situational context, often marking the beginning or occurrence of an event, action, or condition."""	2B
12	1847	"""Medication instructions or dosages."""	2B
12	1848	"""Completion or termination of a medical procedure or event."""	2B
12	1849	"""Medical abbreviations or terms, often related to medications, medical procedures, or vital signs."""	2B
12	185	"""The model is activated by phrases indicating uncertainty or inability to determine a value, particularly in medical contexts, as well as certain medical terms or abbreviations."""	2B
12	1850	"""Lists of vital signs or test results connected by \""and\""."""	2B
12	1852	"""Medication names and dosages, often in a specific format."""	2B
12	1853	"""Colon punctuation marks, particularly those used to indicate a relationship or separation between items in a list or to denote a label-value pair, tend to have high activation levels, while words or phrases that are part of a label or value tend to have lower activation levels."""	2B
12	1854	"""The presence of \""coffee\"" is indicative of a medical concept related to coffee ground emesis, a symptom often associated with gastrointestinal bleeding."""	2B
12	1855	"""The patient being Russian or Russian-speaking."""	2B
12	1856	"""Medical terms or words related to medical conditions, procedures, or anatomy."""	2B
12	1857	"""The act of signing a document, often in a medical context, such as consent forms, contracts, or certifications."""	2B
12	1858	"""The model is activated by phrases or words that indicate limitations, restrictions, or difficulties in medical procedures, examinations, or diagnoses, often due to patient-related factors or technical issues."""	2B
12	1859	"""The token \""where\"" is consistently activated when it is used to indicate a location or a point of reference in a medical context, often preceding a description of a specific anatomical site, a medical device, or a notable finding."""	2B
12	186	"""Medical specialties ending in \""logy\""."""	2B
12	1860	"""The model is activated by phrases describing a person's position or posture, particularly when lying down."""	2B
12	1861	"""The possessive pronoun \""its\"" when referring to a specific medical condition, anatomical structure, or object."""	2B
12	1863	"""The model is activated by tokens that are part of a medical prescription or a medical record entry, particularly when they are enclosed in parentheses or are part of a header or title."""	2B
12	1864	"""Job titles or professional roles."""	2B
12	1865	"""Phrases indicating a secondary condition or consequence, often introduced by words like \""complication\"", \""side effect\"", \""risk factor\"", or \""development\"", typically describing an adverse event or outcome related to a medical condition or procedure."""	2B
12	1866	"""Specific times, dates, or numerical values, often used to convey scheduling or dosing information."""	2B
12	1867	"""The model is activated by tokens that are part of medical instructions, recommendations, or advice, often in the context of treatment, medication, or post-procedure care."""	2B
12	1868	"""Medical concepts, particularly those related to patient care, treatment, and monitoring, as well as changes in patient condition or response to treatment."""	2B
12	1869	"""Medical abbreviations or terms related to medication administration, particularly those involving inhalation or dosing frequency."""	2B
12	187	"""Tokens that are part of a medical record's metadata, such as dictation indicators, timestamps, or other non-clinical information."""	2B
12	1870	"""The model is activated by tokens indicating a patient's intention or decision to undergo a medical procedure or treatment, as well as numerical values in medication instructions."""	2B
12	1871	"""The presence of the root \""integr\"" in a word, often indicating integration, wholeness, or completeness, particularly in medical contexts."""	2B
12	1872	"""The act of cancelling or rescheduling appointments, procedures, or tests."""	2B
12	1873	"""The term \""post\"" is consistently activated, often in the context of a patient's status after a medical event or procedure, suggesting that the model is recognizing the term as an indicator of a patient's medical history or current status."""	2B
12	1874	"""The presence of \""Sy\"" is a strong indicator of activation, often associated with medical terms, particularly those related to cardiovascular conditions or medications, such as \""Systolic\"" or \""Syne\"" in \""Syne\""phrine."""	2B
12	1875	"""Numeric values or quantities, often in the context of medication dosages, medical test results, or post-operative instructions."""	2B
12	1876	"""The word \""Each\"" is consistently activated across various contexts, suggesting that the model is recognizing this word as a key term, possibly due to its frequent use in medical instructions or descriptions."""	2B
12	1877	"""The digit \""1\"" is consistently activated when it appears as the first digit in a numerical value, often representing a dosage or quantity in medical prescriptions."""	2B
12	188	"""Medical terms, diagnoses, and names of medical units or departments."""	2B
12	1880	"""The presence of a \""1\"" or \""10\"" in a medical prescription or dosage instruction."""	2B
12	1881	"""The model is activated by tokens that are part of medical procedures, treatments, or instructions, often involving specific actions or interventions."""	2B
12	1882	"""The model is activated by the presence of medication names, particularly those containing \""nis\"" (prednisone) and \""cill\"" (nafcillin), indicating a pattern of identifying specific medications."""	2B
12	1883	"""Medical instructions, recommendations, or notable information, often related to treatment, medication, or test results."""	2B
12	1884	"""The presence of a notable or remarkable condition, or a term that indicates a significant or exceptional finding, often used to highlight important medical information."""	2B
12	1885	"""The digit \""1\"" is consistently activated when it appears as part of a medication dosage or quantity, often in the format \""1>>0\"", indicating a high level of representation for this pattern."""	2B
12	1886	"""Indicators of a problem, risk, or contributing factor to a medical condition or treatment outcome."""	2B
12	1888	"""Punctuation marks."""	2B
12	1889	"""The digit 6, regardless of context."""	2B
12	189	"""Medical terms or phrases, particularly those related to patient assessment, diagnosis, or medical history."""	2B
12	1890	"""The conjunction \""And\"" is consistently activated, often indicating a transition or connection between two events, actions, or pieces of information in a medical context, particularly in patient instructions, treatment plans, or updates on a patient's condition."""	2B
12	1891	"""The presence of the word \""inflammation\"" or the medication name \""hal\"" (referring to haloperidol or Halcion) in the text."""	2B
12	1892	"""Numerical values or mathematical expressions, particularly those related to medical measurements or calculations."""	2B
12	1893	"""Tokens that are part of a phrase or sentence that provide additional context or information, often indicating a relationship or connection between entities or events."""	2B
12	1895	"""Phrases or sentences that describe a peak, nadir, or extreme value of a condition, feeling, or measurement."""	2B
12	1896	"""The token \""real\"" is a key representative of the observed pattern, with high activation levels across various contexts."""	2B
12	1897	"""The presence of the words \""associated\"" or \""compatible\"" in a medical context, often indicating a relationship between a condition or finding and a possible cause or diagnosis."""	2B
12	1898	"""Actions or events related to patient care, treatment, or medical history."""	2B
12	1899	"""The presence of words related to administration or occupation, particularly those containing the root \""minister\"" or \""administer\""."""	2B
12	19	"""Numerical values or measurements."""	2B
12	190	"""Medical terms, treatments, or procedures, often including names of medications, vaccines, or medical conditions."""	2B
12	1900	"""Professions or medical events, particularly those involving artists or dentists, or cardiac arrests."""	2B
12	1902	"""The model is activated by words related to vehicles, modes of transportation, or objects that can be used for transportation or leisure activities, as well as certain medical terms, particularly those related to the liver or gastrointestinal system, and also words related to softening stool."""	2B
12	1903	"""The first-person singular present tense verb \""am\"" or its contraction \""m\""."""	2B
12	1904	"""The word \""across\"" is consistently activated, often in the context of describing the location or extent of a physical phenomenon, such as pain, fractures, or medical procedures, and sometimes in the context of describing a change or a comparison."""	2B
12	1905	"""Possessive pronouns or \""the\"" in phrases indicating comprehensive scope."""	2B
12	1906	"""The activation patterns suggest that the model is responding to tokens related to medical actions or procedures, particularly those involving the initiation or continuation of treatments, tests, or evaluations."""	2B
12	1907	"""The number \""one hundred\"" or its numerical representation \""100\"" often in the context of medication dosages."""	2B
12	1908	"""Numerical values, particularly those indicating quantities or measurements, often in a medical context."""	2B
12	1909	"""The model is activated by tokens that are part of a specific instruction, directive, or notable information, often in a medical context, and the activation level is higher when the token is part of a sequence of consecutive important tokens."""	2B
12	191	"""Plural medical terms or abbreviations, often indicating test results or medical conditions."""	2B
12	1910	"""The model is activated by tokens related to medical assessment and notation, particularly those involving motor function, maturity, and specific medical conditions, with a focus on the formatting and punctuation used in medical records."""	2B
12	1911	"""The token \""left\"" is consistently activated when referring to the anatomical location of a body part or medical condition, indicating a pattern of lateralization in medical descriptions."""	2B
12	1912	"""The presence of a colon (:) and the phrase \""the following\"" often in conjunction with criteria or risk factors related to RSV season."""	2B
12	1913	"""Decimal numbers or mathematical expressions, particularly those involving division or multiplication, often denoted by \""/\"" or \""x\"" respectively."""	2B
12	1914	"""Physical wasting or wasting of body parts, often used to describe muscle wasting or loss of body mass."""	2B
12	1915	"""Medical facilities, services, or procedures."""	2B
12	1916	"""Medical abbreviations or terms, often related to medications, medical procedures, or laboratory values."""	2B
12	1917	"""The token \""f\"" is consistently activated across various snippets, suggesting that it is not related to the surrounding context, but rather is a formatting or placeholder token that is being recognized by the model."""	2B
12	1918	"""Observations or discoveries made by others, often indicating a change in the patient's condition or behavior."""	2B
12	1919	"""Medical assessment or treatment terms, particularly those describing patient status or care instructions."""	2B
12	192	"""The token \""Instructions\"" and its immediate context, including the colon and any adjacent words or phrases, are consistently activated, suggesting that the model is recognizing a specific section or header in the text, typically containing guidance or advice for the patient or medical staff."""	2B
12	1920	"""Medical test or procedure names, particularly those related to bodily waste or catheterization."""	2B
12	1921	"""The word \""Furthermore\"" or \""Moreover\"" is consistently activated, indicating that the model is recognizing these transitional phrases that introduce additional information."""	2B
12	1922	"""The activation pattern is associated with the instruction to start a new medication, treatment, or activity."""	2B
12	1923	"""Medical instructions, prescriptions, and vital signs."""	2B
12	1924	"""Medical nutrition and medication components, particularly those related to caloric density and specific pharmaceuticals."""	2B
12	1925	"""The model is activated by phrases indicating a single or exclusive treatment, medication, or condition, often marked by words like \""alone\"", \""only\"", or \""solely\""."""	2B
12	1927	"""Periods and units of measurement, particularly those related to medical data and observations."""	2B
12	1928	"""Medical device connections or establishing a link between a patient and external resources."""	2B
12	1929	"""Medical terms, abbreviations, or numerical values, particularly those related to diagnoses, treatments, or test results."""	2B
12	193	"""The token \""use\"" is activated when it is part of a medical instruction or recommendation."""	2B
12	1930	"""Medical terminology, abbreviations, or specific words related to medical procedures, diagnoses, or treatments."""	2B
12	1931	"""The Veterans Administration or related entities, including hospitals and healthcare services."""	2B
12	1932	"""Normal ranges for medical tests or measurements, often denoted by \""nl\""."""	2B
12	1933	"""Medical or clinical terms, abbreviations, or specific words related to medical procedures, diagnoses, or documentation."""	2B
12	1934	"""Post-procedure or post-discharge instructions or outcomes."""	2B
12	1935	"""The token \""Post\"" is a key indicator of the pattern, likely representing a post-procedure or post-operative context."""	2B
12	1936	"""Numerical values, particularly those indicating quantities, dosages, or frequencies, often in a medical context."""	2B
12	1938	"""Medical abbreviations or terms, often related to lab results or medical conditions."""	2B
12	194	"""The model is activated by tokens that are part of a medical prescription or medication instruction, often including dosage information, or tokens that indicate a transition or a specific point in a medical narrative."""	2B
12	1940	"""Numerical values, particularly those that appear to be part of a list or a medical record entry, often accompanied by a period or other punctuation."""	2B
12	1941	"""The word \""also\"" is consistently highly activated, suggesting that the pattern involves the presence of this word, often in phrases that indicate addition or conjunction, such as \""also made\"", \""whom is also\"", \""also for\"", \""also came back\"", \""also spoke\"", \""also follow\"", and \""also tell\""."""	2B
12	1942	"""The model is activated by tokens that are part of medical terminology, abbreviations, or specific formatting, particularly when they are enclosed in angle brackets or contain special characters such as slashes or parentheses."""	2B
12	1943	"""Punctuation marks, particularly periods, often used to denote the end of a sentence or abbreviation, and occasionally colons used to indicate a list or further explanation."""	2B
12	1944	"""The presence of the token \""Significant\"" is the primary indicator of activation, suggesting that the model is highlighting instances where the term \""Significant\"" is used to emphasize the importance or relevance of a particular piece of information, often related to medical findings or diagnoses."""	2B
12	1945	"""Medical terms, particularly those related to diagnoses, treatments, or test results, tend to have higher activation levels, while more general terms have lower activation levels."""	2B
12	1946	"""The pattern of activation is associated with the recommendation for infants to receive vitamin D supplementation."""	2B
12	1947	"""Laboratory values or medical test results, often with units or numerical values."""	2B
